,movieId,average_rating
7638,88448,5.0
8089,100556,5.0
9065,143031,5.0
9076,143511,5.0
9078,143559,5.0
4245,6201,5.0
8136,102217,5.0
8130,102084,5.0
4240,6192,5.0
9104,145994,5.0
8097,100906,5.0
9111,146662,5.0
8056,99636,5.0
5771,31522,5.0
9113,146684,5.0
9119,147196,5.0
9120,147250,5.0
9122,147286,5.0
9123,147300,5.0
9124,147326,5.0
9125,147328,5.0
6982,67618,5.0
3315,4495,5.0
8194,103602,5.0
6903,64501,5.0
6902,64499,5.0
8989,140133,5.0
8994,140265,5.0
4369,6408,5.0
4366,6402,5.0
6782,60737,5.0
9004,140627,5.0
5890,33649,5.0
9024,141718,5.0
8232,104780,5.0
9028,141816,5.0
2834,3795,5.0
2831,3792,5.0
3289,4454,5.0
1888,2512,5.0
9037,141928,5.0
5862,33138,5.0
9039,142020,5.0
2124,2824,5.0
9050,142444,5.0
9126,147330,5.0
2745,3687,5.0
9349,162414,5.0
9263,157775,5.0
5620,27320,5.0
9216,152711,5.0
7117,71268,5.0
5585,26928,5.0
9237,156025,5.0
5573,26849,5.0
7157,72142,5.0
5572,26840,5.0
7948,96430,5.0
9266,158027,5.0
666,876,5.0
2317,3073,5.0
9271,158398,5.0
9281,158882,5.0
7182,72692,5.0
9299,159811,5.0
7927,95843,5.0
7222,73822,5.0
9319,160644,5.0
7232,74226,5.0
7960,96608,5.0
2707,3637,5.0
7972,96832,5.0
9196,151769,5.0
9134,147410,5.0
4200,6086,5.0
5677,27751,5.0
7030,69211,5.0
3499,4788,5.0
2736,3678,5.0
4172,6021,5.0
5665,27704,5.0
7042,69469,5.0
7063,69860,5.0
3517,4813,5.0
9162,149350,5.0
9167,149508,5.0
9168,149566,5.0
9176,150554,5.0
5641,27523,5.0
7975,96935,5.0
7080,70451,5.0
5626,27373,5.0
5926,34312,5.0
8975,139640,5.0
8968,138966,5.0
6172,44943,5.0
1310,1759,5.0
6266,47736,5.0
8446,112512,5.0
8689,124404,5.0
8691,124851,5.0
8699,126088,5.0
6194,45503,5.0
8708,126921,5.0
1227,1631,5.0
6166,44851,5.0
8967,138835,5.0
8734,128087,5.0
433,496,5.0
432,495,5.0
8365,109687,5.0
8363,109633,5.0
8757,128914,5.0
6084,42556,5.0
8770,129514,5.0
2943,3951,5.0
8657,122092,5.0
8656,121781,5.0
536,633,5.0
4667,6983,5.0
3106,4180,5.0
6393,50999,5.0
4588,6835,5.0
8573,117531,5.0
8592,118270,5.0
8533,115727,5.0
6478,53280,5.0
8605,118834,5.0
6482,53355,5.0
8498,114265,5.0
8609,118894,5.0
3077,4135,5.0
6494,53578,5.0
8486,113829,5.0
8627,120130,5.0
8628,120138,5.0
4468,6611,5.0
531,626,5.0
3063,4116,5.0
2935,3942,5.0
2934,3941,5.0
8348,109241,5.0
8316,107771,5.0
8860,134109,5.0
8878,134796,5.0
8880,134847,5.0
2876,3851,5.0
8915,136341,5.0
8916,136353,5.0
8917,136355,5.0
8918,136359,5.0
8920,136445,5.0
8921,136447,5.0
8923,136469,5.0
8925,136503,5.0
4384,6442,5.0
8928,136556,5.0
8940,136834,5.0
8943,136850,5.0
6745,59814,5.0
4774,7122,5.0
8964,138632,5.0
8859,134095,5.0
8855,134004,5.0
2933,3940,5.0
6034,40491,5.0
2932,3939,5.0
8795,130970,5.0
8337,108795,5.0
8797,130978,5.0
405,467,5.0
8800,131098,5.0
8802,131130,5.0
8803,131237,5.0
8807,131610,5.0
4738,7071,5.0
8810,131724,5.0
8325,108078,5.0
8819,132153,5.0
8821,132333,5.0
2232,2969,5.0
3251,4402,5.0
2235,2972,5.0
8320,107951,5.0
4759,7096,5.0
9347,162344,5.0
4583,6818,5.0
2661,3567,5.0
3686,5088,5.0
7794,92494,5.0
9550,173963,5.0
5417,25906,5.0
9557,174551,5.0
5414,25887,5.0
2593,3473,5.0
7809,93008,5.0
7810,93022,5.0
3753,5241,5.0
7822,93320,5.0
9565,175293,5.0
3754,5244,5.0
7315,77846,5.0
7347,78836,5.0
9567,175387,5.0
9568,175397,5.0
9570,175431,5.0
4038,5745,5.0
4032,5723,5.0
9593,176601,5.0
7618,87834,5.0
9425,167064,5.0
7583,86721,5.0
7742,91355,5.0
48,53,5.0
5015,7815,5.0
5423,25947,5.0
9545,173619,5.0
9616,179135,5.0
5437,26078,5.0
7743,91386,5.0
9519,172583,5.0
7383,79897,5.0
9520,172585,5.0
9500,171749,5.0
9521,172587,5.0
9522,172589,5.0
5447,26147,5.0
9524,172637,5.0
5453,26169,5.0
9525,172705,5.0
9526,172793,5.0
5436,26073,5.0
1005,1310,5.0
7726,90943,5.0
9528,172875,5.0
121,148,5.0
9531,172909,5.0
7387,80124,5.0
9480,170777,5.0
87,99,5.0
9542,173351,5.0
1539,2075,5.0
9543,173355,5.0
4039,5746,5.0
9477,170597,5.0
9615,179133,5.0
2607,3496,5.0
7284,76091,5.0
2478,3303,5.0
7582,86668,5.0
7534,85295,5.0
7899,95311,5.0
9370,163925,5.0
1646,2196,5.0
3918,5513,5.0
5519,26587,5.0
7474,82744,5.0
9670,184245,5.0
864,1140,5.0
2327,3086,5.0
9364,163386,5.0
5128,8238,5.0
9362,163112,5.0
9361,163072,5.0
7496,83969,5.0
2635,3531,5.0
9693,187717,5.0
869,1151,5.0
1036,1349,5.0
3847,5416,5.0
7508,84512,5.0
3903,5490,5.0
7504,84273,5.0
3888,5468,5.0
5226,8580,5.0
7890,95175,5.0
9518,172577,5.0
3931,5537,5.0
3969,5607,5.0
9405,165959,5.0
5484,26366,5.0
9409,166183,5.0
7868,94810,5.0
2336,3096,5.0
5297,8804,5.0
5490,26401,5.0
4102,5888,5.0
7563,86237,5.0
5277,8738,5.0
7885,95149,5.0
9378,164367,5.0
5480,26350,5.0
3667,5059,5.0
5334,8911,5.0
4103,5889,5.0
3802,5328,5.0
4390,6460,4.9
5567,26810,4.833333333333333
8518,115122,4.833333333333333
9600,177593,4.75
2422,3224,4.75
9523,172591,4.75
4773,7121,4.75
9684,185135,4.75
4048,5772,4.75
9552,174053,4.75
6168,44889,4.75
6031,40412,4.75
8704,126430,4.75
2477,3302,4.75
2878,3855,4.75
3184,4298,4.75
557,670,4.75
8001,97866,4.75
5832,32582,4.75
4946,7486,4.75
6896,64197,4.75
5004,7767,4.75
8096,100882,4.75
7226,73881,4.75
4115,5915,4.75
9129,147376,4.75
9408,166024,4.75
7258,74727,4.75
5720,30745,4.75
4278,6254,4.75
9042,142115,4.75
7235,74282,4.75
5759,31364,4.7
841,1105,4.666666666666667
1663,2239,4.666666666666667
6720,59141,4.666666666666667
4077,5833,4.666666666666667
4338,6345,4.666666666666667
1887,2511,4.666666666666667
1588,2131,4.625
6103,43376,4.625
6005,38304,4.625
6556,55167,4.625
3205,4334,4.6
796,1041,4.590909090909091
8283,106642,4.571428571428571
2579,3451,4.545454545454546
882,1178,4.541666666666667
1025,1337,4.5
3832,5385,4.5
7119,71302,4.5
7106,71131,4.5
8390,110591,4.5
3190,4307,4.5
8404,111146,4.5
3207,4338,4.5
7464,82366,4.5
3967,5603,4.5
7104,71108,4.5
4424,6545,4.5
3245,4393,4.5
3233,4374,4.5
3222,4357,4.5
1081,1406,4.5
7576,86487,4.5
6643,57183,4.5
4415,6533,4.5
8376,109971,4.5
8384,110350,4.5
3210,4342,4.5
4089,5867,4.5
844,1112,4.5
8383,110330,4.5
6589,55687,4.5
7093,70708,4.5
6607,56060,4.5
7548,85736,4.5
4104,5890,4.5
8427,111913,4.5
7915,95633,4.5
6542,55020,4.5
6496,53883,4.5
7938,96084,4.5
3603,4956,4.5
4122,5938,4.5
7237,74342,4.5
7517,84799,4.5
3842,5404,4.5
4116,5919,4.5
8439,112334,4.5
7922,95761,4.5
8535,115828,4.5
6406,51314,4.5
6403,51167,4.5
8542,116411,4.5
7503,84246,4.5
7917,95690,4.5
6387,50851,4.5
4110,5901,4.5
7518,84844,4.5
7175,72554,4.5
4497,6665,4.5
7153,71999,4.5
8447,112515,4.5
6580,55391,4.5
7155,72104,4.5
7048,69529,4.5
7900,95313,4.5
7161,72178,4.5
3595,4942,4.5
3168,4273,4.5
8458,112868,4.5
894,1192,4.5
8461,112940,4.5
7945,96373,4.5
7480,82857,4.5
3906,5498,4.5
8467,113275,4.5
1241,1652,4.5
7056,69720,4.5
4071,5817,4.5
7038,69394,4.5
799,1046,4.5
8138,102338,4.5
4114,5912,4.5
6751,60030,4.5
8282,106594,4.5
7783,92243,4.5
7711,90576,4.5
3729,5181,4.5
7350,79006,4.5
4227,6163,4.5
8145,102666,4.5
4044,5764,4.5
3384,4612,4.5
8088,100553,4.5
8074,100194,4.5
8072,100159,4.5
7681,89837,4.5
7672,89582,4.5
3411,4645,4.5
1178,1571,4.5
6766,60333,4.5
4408,6515,4.5
1164,1545,4.5
4306,6300,4.5
4072,5818,4.5
6838,62208,4.5
8199,103685,4.5
3720,5155,4.5
7764,91784,4.5
2052,2732,4.5
1159,1533,4.5
6796,60943,4.5
6925,65225,4.5
8189,103483,4.5
6771,60408,4.5
8257,105540,4.5
4055,5786,4.5
8259,105593,4.5
7771,91947,4.5
8162,102984,4.5
8263,105746,4.5
8305,107408,4.5
6711,59018,4.5
7799,92643,4.5
6661,57843,4.5
7423,81087,4.5
7845,93988,4.5
8015,98154,4.5
7616,87660,4.5
7435,81535,4.5
7291,76301,4.5
8331,108540,4.5
3777,5288,4.5
4000,5657,4.5
7341,78620,4.5
3991,5637,4.5
7592,86892,4.5
8342,108981,4.5
8344,109161,4.5
8553,116817,4.5
7286,76143,4.5
1927,2557,4.5
3976,5614,4.5
6675,58291,4.5
7842,93855,4.5
8029,98604,4.5
7650,88932,4.5
7659,89090,4.5
6701,58842,4.5
8307,107412,4.5
8311,107462,4.5
8313,107630,4.5
2106,2801,4.5
7327,78142,4.5
3690,5095,4.5
6988,67888,4.5
3255,4407,4.5
6683,58309,4.5
7309,77688,4.5
4085,5849,4.5
7654,89039,4.5
813,1066,4.5
3446,4708,4.5
8030,98607,4.5
3267,4429,4.5
6170,44931,4.5
6386,50842,4.5
2678,3592,4.5
9249,157108,4.5
9250,157110,4.5
4958,7572,4.5
9283,158966,4.5
9286,159069,4.5
9289,159161,4.5
5551,26736,4.5
5546,26713,4.5
9303,159976,4.5
9306,160289,4.5
9312,160527,4.5
9322,160718,4.5
9325,160848,4.5
9331,161024,4.5
1706,2295,4.5
4964,7614,4.5
4965,7615,4.5
9355,162602,4.5
2645,3546,4.5
5523,26603,4.5
9373,163985,4.5
5508,26528,4.5
5506,26524,4.5
9376,164226,4.5
9387,164917,4.5
9398,165551,4.5
9402,165671,4.5
5482,26359,4.5
5476,26326,4.5
9241,156605,4.5
5591,26985,4.5
9080,143896,4.5
5609,27176,4.5
9086,144478,4.5
9092,144734,4.5
9093,144976,4.5
1734,2330,4.5
5768,31435,4.5
5723,30803,4.5
9132,147382,4.5
5710,27869,4.5
4940,7459,4.5
5683,27776,4.5
9137,147936,4.5
5675,27744,4.5
9145,148632,4.5
9148,148671,4.5
5669,27716,4.5
9152,148881,4.5
5654,27627,4.5
246,284,4.5
5653,27619,4.5
3093,4157,4.5
2731,3673,4.5
2297,3046,4.5
1721,2314,4.5
9171,149830,4.5
9179,150696,4.5
5637,27480,4.5
9209,152105,4.5
5625,27370,4.5
5621,27328,4.5
9418,166568,4.5
9428,167380,4.5
9431,167634,4.5
9437,167854,4.5
9595,176751,4.5
5395,25769,4.5
9598,177185,4.5
9604,177939,4.5
2503,3353,4.5
5081,8025,4.5
5296,8800,4.5
5292,8795,4.5
2484,3315,4.5
9634,180265,4.5
9637,180777,4.5
9643,181413,4.5
9652,182731,4.5
9662,183317,4.5
5207,8511,4.5
9667,183959,4.5
2469,3289,4.5
5195,8484,4.5
2451,3266,4.5
5192,8477,4.5
9682,185031,4.5
9694,188189,4.5
9697,188751,4.5
5173,8405,4.5
9699,188833,4.5
9713,191005,4.5
2428,3241,4.5
1628,2175,4.5
2409,3201,4.5
9588,176413,4.5
2373,3152,4.5
9571,175435,4.5
5438,26082,4.5
2595,3475,4.5
5468,26265,4.5
9442,168218,4.5
5028,7843,4.5
9459,168846,4.5
9460,169034,4.5
5042,7899,4.5
5461,26225,4.5
5448,26150,4.5
9496,171495,4.5
9508,171917,4.5
5442,26122,4.5
5441,26116,4.5
9527,172825,4.5
5396,25771,4.5
5435,26059,4.5
5433,26048,4.5
5431,26003,4.5
5055,7939,4.5
9536,173235,4.5
9541,173317,4.5
5056,7940,4.5
9544,173535,4.5
2521,3384,4.5
2520,3379,4.5
9562,174909,4.5
5060,7976,4.5
5402,25805,4.5
5828,32469,4.5
7499,84156,4.5
5829,32511,4.5
8900,135777,4.5
8714,127116,4.5
6001,38159,4.5
2245,2984,4.5
3039,4077,4.5
5940,34450,4.5
348,391,4.5
346,389,4.5
6214,46105,4.5
8700,126090,4.5
4709,7037,4.5
8971,139157,4.5
8688,124273,4.5
8987,140038,4.5
8683,123200,4.5
8990,140162,4.5
1381,1893,4.5
8754,128900,4.5
5910,33893,4.5
6230,46855,4.5
8999,140481,4.5
5899,33779,4.5
9009,140816,4.5
5884,33564,4.5
8927,136540,4.5
441,506,4.5
2260,3003,4.5
8870,134334,4.5
1349,1836,4.5
8761,128991,4.5
6113,43684,4.5
8737,128099,4.5
8793,130840,4.5
6083,42422,4.5
8796,130976,4.5
8799,131023,4.5
8801,131104,4.5
6068,41828,4.5
6151,44633,4.5
8815,131920,4.5
8829,132496,4.5
8735,128089,4.5
6066,41724,4.5
8846,133716,4.5
6161,44777,4.5
8853,133867,4.5
6024,39516,4.5
8729,127212,4.5
8864,134184,4.5
8868,134252,4.5
8869,134326,4.5
5875,33310,4.5
6098,42761,4.5
4697,7023,4.5
4657,6969,4.5
8631,120625,4.5
8619,119153,4.5
481,549,4.5
9057,142550,4.5
8613,118930,4.5
6306,48649,4.5
6309,48698,4.5
9043,142196,4.5
1298,1733,4.5
8597,118530,4.5
9033,141844,4.5
6316,48872,4.5
8638,120813,4.5
8580,117849,4.5
9032,141836,4.5
8650,121338,4.5
8579,117646,4.5
5872,33201,4.5
8652,121372,4.5
9061,142831,4.5
8653,121374,4.5
8654,121469,4.5
9029,141818,4.5
8566,117192,4.5
6374,50613,4.5
4812,7184,4.5
4686,7008,4.5
4827,7218,4.5
840,1104,4.475
1761,2360,4.458333333333333
917,1217,4.433333333333334
277,318,4.429022082018927
1110,1446,4.428571428571429
1758,2357,4.416666666666667
1267,1683,4.416666666666667
3254,4406,4.4
4565,6791,4.4
2374,3153,4.4
7584,86781,4.4
731,951,4.392857142857143
3639,5008,4.388888888888889
2010,2677,4.375
5499,26471,4.375
8711,127098,4.375
7236,74324,4.375
6680,58301,4.375
8025,98491,4.375
9217,152970,4.375
7167,72356,4.375
107,123,4.375
5027,7842,4.375
7537,85342,4.357142857142857
1648,2202,4.357142857142857
2313,3068,4.357142857142857
1406,1927,4.35
3889,5470,4.333333333333333
8441,112421,4.333333333333333
7677,89759,4.333333333333333
978,1280,4.333333333333333
7840,93838,4.333333333333333
8630,120478,4.333333333333333
868,1150,4.333333333333333
8379,110130,4.333333333333333
2589,3468,4.333333333333333
935,1236,4.333333333333333
5389,9018,4.333333333333333
3064,4117,4.333333333333333
4458,6591,4.333333333333333
9503,171763,4.333333333333333
5063,7981,4.333333333333333
554,665,4.333333333333333
2023,2696,4.333333333333333
5100,8132,4.333333333333333
7046,69524,4.333333333333333
3481,4765,4.333333333333333
5702,27834,4.333333333333333
8885,134881,4.333333333333333
722,942,4.333333333333333
704,922,4.333333333333333
5646,27563,4.333333333333333
3500,4789,4.333333333333333
7016,68848,4.333333333333333
4286,6270,4.333333333333333
1425,1949,4.333333333333333
8135,102194,4.333333333333333
4265,6235,4.333333333333333
3344,4537,4.333333333333333
1197,1596,4.333333333333333
2565,3435,4.323529411764706
687,905,4.321428571428571
2782,3727,4.3125
680,898,4.310344827586207
4794,7156,4.3076923076923075
148,176,4.3076923076923075
909,1209,4.305555555555555
6590,55721,4.3
7577,86504,4.3
5444,26131,4.3
3001,4021,4.3
2591,3470,4.3
905,1204,4.3
4498,6666,4.3
413,475,4.3
7971,96829,4.3
6990,67997,4.3
7797,92535,4.3
5608,27156,4.3
210,246,4.293103448275862
7419,80906,4.291666666666667
659,858,4.2890625
934,1235,4.288461538461538
9479,170705,4.285714285714286
4040,5747,4.285714285714286
2497,3341,4.285714285714286
1752,2351,4.285714285714286
9445,168252,4.28
6842,62336,4.277777777777778
2224,2959,4.272935779816514
974,1276,4.271929824561403
602,750,4.268041237113402
946,1248,4.264705882352941
686,904,4.261904761904762
921,1221,4.25968992248062
6298,48516,4.252336448598131
6573,55278,4.25
1419,1942,4.25
7463,82242,4.25
913,1213,4.25
5274,8724,4.25
6969,66943,4.25
5228,8582,4.25
4225,6159,4.25
1833,2436,4.25
4129,5949,4.25
5036,7888,4.25
7209,73344,4.25
5457,26183,4.25
6960,66511,4.25
4725,7056,4.25
4886,7333,4.25
7494,83827,4.25
5512,26554,4.25
4638,6945,4.25
6420,51705,4.25
5822,32387,4.25
4235,6184,4.25
5826,32456,4.25
6937,65642,4.25
5842,32657,4.25
1289,1719,4.25
5132,8254,4.25
4285,6269,4.25
5827,32460,4.25
4414,6530,4.25
4833,7234,4.25
6169,44929,4.25
5769,31437,4.25
5047,7925,4.25
4916,7382,4.25
1327,1797,4.25
965,1267,4.25
1092,1419,4.25
7034,69275,4.25
4017,5685,4.25
5511,26547,4.25
1103,1437,4.25
1533,2069,4.25
6250,47404,4.25
4653,6963,4.25
