,movie_a,movie_b,count
1159332,356,318,231
1016695,318,356,231
1159313,356,296,230
947678,296,356,230
947641,296,318,222
1016642,318,296,222
1908623,593,296,207
947871,296,593,207
1016885,318,593,199
1159559,356,593,199
1908680,593,356,199
1908643,593,318,199
1544810,480,356,198
1159468,356,480,198
7319757,2571,356,194
1160946,356,2571,194
846467,260,1196,190
3327937,1196,260,190
847489,260,2571,183
1159163,356,110,183
402737,110,356,183
7319679,2571,260,183
7319724,2571,318,181
1018208,318,2571,181
7321595,2571,2959,180
8277569,2959,2571,180
402682,110,296,178
949252,296,2571,178
7319707,2571,296,178
947464,296,110,178
846480,260,1210,175
3418816,1210,260,175
947412,296,47,174
217790,47,296,174
7320302,2571,1196,173
3329591,1196,2571,173
1544757,480,296,173
947779,296,480,173
1884959,589,356,170
1159556,356,589,170
402701,110,318,167
1016491,318,110,167
1885056,589,480,167
1544992,480,589,167
12760171,4993,5952,166
14193933,5952,4993,166
16051220,7153,4993,165
1159185,356,150,165
1016836,318,527,165
1884911,589,296,165
477496,150,356,165
947868,296,589,165
12760798,4993,7153,165
1695981,527,318,165
1159283,356,260,164
845897,260,356,164
1159510,356,527,164
1696018,527,356,164
232313,50,318,163
1016447,318,50,163
3328583,1196,1210,162
232295,50,296,162
8276016,2959,318,162
3419456,1210,1196,162
1018454,318,2959,162
947415,296,50,162
14195008,5952,7153,161
16051675,7153,5952,161
402835,110,480,161
1544611,480,110,161
8276050,2959,356,160
7319942,2571,593,160
217839,47,356,160
1910244,593,2571,160
846469,260,1198,159
3344517,1198,260,159
949519,296,2959,158
8275999,2959,296,158
1908780,593,480,157
12758198,4993,2571,157
7322941,2571,4993,157
1544995,480,593,157
7320894,2571,2028,156
845861,260,318,156
1884767,589,110,156
5706959,2028,2571,156
402924,110,589,156
1016613,318,260,156
846087,260,593,155
1908591,593,260,155
7320304,2571,1198,154
3420476,1210,2571,154
8010953,2858,2571,154
1544775,480,318,154
297,1,356,154
1016795,318,480,154
3346160,1198,2571,154
845843,260,296,154
7792235,2762,2571,152
232349,50,356,152
477443,150,296,151
477460,150,318,151
1695962,527,296,151
1908417,593,47,150
1908469,593,110,150
1900496,592,296,150
402927,110,593,150
218023,47,593,150
1471861,457,356,149
217807,47,318,149
14192485,5952,2571,149
8009367,2858,296,149
1885143,589,593,148
16049787,7153,2571,148
3345147,1198,1196,148
1908821,593,527,148
1908867,593,589,148
3328572,1196,1198,148
1696201,527,593,148
2262052,780,356,148
3328018,1196,356,148
1884928,589,318,146
1900551,592,356,146
1250628,377,356,145
1194299,364,356,144
1544891,480,457,144
1961635,608,296,144
1471958,457,480,144
2262148,780,480,144
1886486,589,2571,144
8009418,2858,356,144
1545089,480,780,144
3418900,1210,356,143
1471806,457,296,142
243,1,296,141
1877441,588,356,141
9787638,3578,2571,140
16048358,7153,356,140
1544728,480,260,140
1544994,480,592,140
7790693,2762,356,140
1472045,457,593,140
845998,260,480,140
1900650,592,480,140
1265295,380,356,139
3327965,1196,296,139
1265240,380,296,138
2261978,780,260,138
404288,110,2571,138
846188,260,780,138
12756744,4993,356,138
5705431,2028,356,138
477591,150,480,138
1884883,589,260,137
1250724,377,480,137
402817,110,457,137
262,1,318,137
8276232,2959,593,137
8009600,2858,593,137
232535,50,593,137
1471655,457,110,137
